repo,buggy_fix,fix0_file,fix1_file
ndpi,812505b56bb4508bc42e1615d6425ad26444d3f8,oss-fuzz-vulns/vulns/ndpi/OSV-2020-236.yaml,oss-fuzz-vulns/vulns/ndpi/OSV-2020-177.yaml
ndpi,346e274a1b1d713aedfc341f7d1300009f9f0e1a,oss-fuzz-vulns/vulns/ndpi/OSV-2022-670.yaml,oss-fuzz-vulns/vulns/ndpi/OSV-2022-691.yaml
ndpi,30c3613f2fae705a284284794b5367ad7c7374ae,oss-fuzz-vulns/vulns/ndpi/OSV-2025-147.yaml,oss-fuzz-vulns/vulns/ndpi/OSV-2025-154.yaml
ndpi,ed51987e3a4838dd9aef27dfab2c0651f2f52836,oss-fuzz-vulns/vulns/ndpi/OSV-2021-784.yaml,oss-fuzz-vulns/vulns/ndpi/OSV-2021-1805.yaml
ndpi,374a24a1fb373617be23d7cbb397b47d23a5ffda,oss-fuzz-vulns/vulns/ndpi/OSV-2020-142.yaml,oss-fuzz-vulns/vulns/ndpi/OSV-2020-245.yaml
spirv-tools,286e9c1187053b4363fe963636f242263e1e5cd9,oss-fuzz-vulns/vulns/spirv-tools/OSV-2022-490.yaml,oss-fuzz-vulns/vulns/spirv-tools/OSV-2022-525.yaml
arrow,35cc9d1409ed4bab07a40af704a13a6b2011f691,oss-fuzz-vulns/vulns/arrow/OSV-2021-1565.yaml,oss-fuzz-vulns/vulns/arrow/OSV-2021-1601.yaml
pcre2,3eedbacfeeecd2a06a282c7f9b630883840cbbc4,oss-fuzz-vulns/vulns/pcre2/OSV-2024-309.yaml,oss-fuzz-vulns/vulns/pcre2/OSV-2024-324.yaml
harfbuzz,de6e414c565de5f27b9da8c7b8b11f88659a4c42,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-114.yaml,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-149.yaml
harfbuzz,4c27da7638f6d072c3ff93223488c4ab316236c1,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-185.yaml,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-150.yaml
harfbuzz,752bd8a192af209f44dacaf1d3510d0bfc6354b8,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-54.yaml,oss-fuzz-vulns/vulns/harfbuzz/OSV-2018-119.yaml
harfbuzz,3efb7af7e28061f8cd138eb2ed5261bf521abc63,oss-fuzz-vulns/vulns/harfbuzz/OSV-2020-565.yaml,oss-fuzz-vulns/vulns/harfbuzz/OSV-2020-708.yaml
c-blosc2,4a727370b1c2e9746434c00bf2236db86c31ea5c,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-639.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-1589.yaml
c-blosc2,5a222cc79dc67ce01477da3a3ee10edf1076c655,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-369.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-404.yaml
c-blosc2,ce9aa2247006ed182dabb922bd3536b13375c4cf,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-622.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2022-486.yaml
c-blosc2,c473b21cff5e1a459b4467f18bf7414114f848fd,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-27.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-221.yaml
c-blosc2,969fb4cbb617801876fb5ddefc73778935ff1a56,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-404.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-422.yaml
c-blosc2,57fca38a4f51687d71e451ae29df6b353764fb72,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-271.yaml,oss-fuzz-vulns/vulns/c-blosc2/OSV-2021-369.yaml
open62541,4a12b64f32427042605dbeafa6fded3583316244,oss-fuzz-vulns/vulns/open62541/OSV-2021-1059.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2021-1430.yaml
open62541,58a2fdb5b1ad1efafef455d66a9cbfb93c3fae9d,oss-fuzz-vulns/vulns/open62541/OSV-2020-676.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2020-248.yaml
open62541,6f21ecb48a49fd292d568feb3751a50e51e083a3,oss-fuzz-vulns/vulns/open62541/OSV-2020-1491.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2021-1059.yaml
open62541,b9225f9f936a48af66c4aeb7e3fd1684e4d3b88b,oss-fuzz-vulns/vulns/open62541/OSV-2020-475.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2020-676.yaml
open62541,e1cdb1dd75ea92adcc949c5d3dc4fc4ebdf74b92,oss-fuzz-vulns/vulns/open62541/OSV-2020-352.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2020-879.yaml
open62541,d09ab036733583a0d2ddd3d556a93ba47a73b0b3,oss-fuzz-vulns/vulns/open62541/OSV-2020-352.yaml,oss-fuzz-vulns/vulns/open62541/OSV-2020-879.yaml
file,a317154a5acbdcc82db79063742481ce83abafe7,oss-fuzz-vulns/vulns/file/OSV-2016-1.yaml,oss-fuzz-vulns/vulns/file/OSV-2017-140.yaml
file,c8ef8f414952634d217b2b5e19d38b92d0341bc2,oss-fuzz-vulns/vulns/file/OSV-2016-3.yaml,oss-fuzz-vulns/vulns/file/OSV-2016-1.yaml
file,a9c8d2a9493c4e0cd201db57801f3502e65c686c,oss-fuzz-vulns/vulns/file/OSV-2021-1238.yaml,oss-fuzz-vulns/vulns/file/OSV-2021-1322.yaml
poppler,f2493d53a70e10ea69bd147c48be7c8544979436,oss-fuzz-vulns/vulns/poppler/OSV-2020-1278.yaml,oss-fuzz-vulns/vulns/poppler/OSV-2020-2165.yaml
lua,5d8ce05b3f6fad79e37ed21c1076e47a322472c6,oss-fuzz-vulns/vulns/lua/OSV-2021-447.yaml,oss-fuzz-vulns/vulns/lua/OSV-2021-512.yaml
flatbuffers,8fb8c2ce1dff00bc1455aba0770eb7eae9a06ece,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-333.yaml,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-1314.yaml
flatbuffers,815d3e820d4969af68800ddca5f1e6771c3622da,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-281.yaml,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-308.yaml
flatbuffers,6f3e45eca1fde7a68cb72fd4499a3647f719c9db,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-308.yaml,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-333.yaml
flatbuffers,4264daadd2487cd3e63cf83f5dca3f0ccc53af64,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-1678.yaml,oss-fuzz-vulns/vulns/flatbuffers/OSV-2021-1695.yaml
openthread,c972c5cb936ef1f640ab90fbe03e7f2631dbcb18,oss-fuzz-vulns/vulns/openthread/OSV-2020-413.yaml,oss-fuzz-vulns/vulns/openthread/OSV-2020-383.yaml
openthread,68426e236fe8a15884c3893a2083663687b2610f,oss-fuzz-vulns/vulns/openthread/OSV-2020-289.yaml,oss-fuzz-vulns/vulns/openthread/OSV-2020-528.yaml
cras,144bf3828e41b26c7746be463d17d6ea55dd7163,oss-fuzz-vulns/vulns/cras/OSV-2020-757.yaml,oss-fuzz-vulns/vulns/cras/OSV-2020-891.yaml
